conn_ID,AREA_NAME,lng_wgs84,lat_wgs84,AREA_TYPE_NAME,出账收入,门店面积(㎡),fnid
id_70,定福庄,116.574175,39.9211235,社区,369082.1595,388.5,151761
id_71,神路街,116.4503844,39.92690767,社区,190084.3725,126.0,153147
id_72,朝阳门,116.44651680000001,39.92953402,核心商圈,191604.1268,192.15,154574
id_73,青年路,116.5264121,39.93384954,社区,251559.7124,341.25,155315
id_74,高碑店,116.53029280000001,39.91856417,社区,152593.5216,268.8,151032
id_75,东坝,116.5640331,39.95816763,社区,157053.6967,210.0,163182
id_76,团结湖,116.47363659999999,39.94028082,社区,85074.57516000001,225.75,157439
id_77,大北窑,116.47929599999999,39.91366659,核心商圈,220727.9569,235.2,148873
id_78,高碑店新村,116.5342812,39.90927368,社区,11491.241829999999,168.0,148178
id_79,广渠门,116.43726979999998,39.90000397,商业街区,435739.5634,630.0,144575
id_80,方庄,116.43936629999999,39.86512134,社区,544971.3255,399.0,133865
id_81,经济技术开发区,116.51411429999999,39.80310055,商业街区,371877.8118,210.0,113899
id_82,十里河,116.4663604,39.87189138,商业街区,283316.7294,198.45,136017
id_83,马家堡,116.37715859999999,39.85110148,社区,522482.5242,840.0,129560
id_84,金鱼池,116.4169446,39.89833515,商业街区,152771.8967,133.35,144568
id_85,木樨园,116.41119540000001,39.86422139,商业街区,323233.1673,210.0,133856
id_86,华威,116.4690283,39.88965088,社区,223785.7948,73.5,141730
id_87,双井,116.4726665,39.8986742,商业街区,359615.33200000005,210.0,144587
id_88,垡头,116.51177870000001,39.87145529,社区,254745.5752,60.9,136032
id_89,南苑,116.4112314,39.81092985,社区,244876.9595,157.5,116720
id_90,旧宫,116.45819479999999,39.80573351,产业园区,220033.1464,315.0,115308
id_91,鹿海园,116.5106378,39.77002745,社区,98655.08366,97.65,103902
id_92,宋家庄,116.43629409999998,39.85234781,社区,108647.3882,139.65,129580
id_93,成寿寺,116.45417040000001,39.84450249,社区,51093.811760000004,210.0,127444
id_94,南磨房路,116.48183,39.88974016,社区,42715.0,141.75,141734
id_95,五棵松,116.29134350000001,39.914206400000005,商业街区,392165.0418,790.65,149523
id_96,车公庄,116.36185149999999,39.94028773,社区,102595.2183,315.0,157401
id_97,鲁谷,116.2328818,39.90983405,商业街区,327867.1673,525.0,148075
id_98,远大路,116.29543980000001,39.96490767,核心商圈,388429.1987,363.3,165232
id_99,杨庄,116.2041719,39.92919513,商业街区,242914.1359,745.5,153777
id_100,青塔,116.27067350000002,39.89627317,社区,213227.3373,137.55,143804
id_101,田村,116.27075430000001,39.93373197,社区,149462.9686,788.55,155228
id_102,展览路,116.35019150000001,39.93470016,社区,251417.7542,210.0,155969
id_103,紫竹院,116.31743929999999,39.945473799999995,社区,327676.9516,154.35,159528
id_104,茂林居,116.3364744,39.91447596,社区,145717.7948,132.3,149538
id_105,石景山,116.1921975,39.91442061,商业街区,351711.1438,313.95,149489
id_106,四季青,116.2855584,39.96521873,社区,215517.3294,210.0,165229
id_107,公主坟,116.318104,39.91516772,商业街区,38935.22092,105.0,149532
id_108,四通桥,116.32814609999998,39.97097981,商业街区,46720.6,241.5,167385
id_109,北展,116.35280559999998,39.94353772,商业街区,30604.41307,168.0,158826
id_110,政府街,116.24377820000001,40.22602777,商业街区,527197.1647,577.5,248039
id_111,回龙观,116.35207790000001,40.08648642,商业街区,448454.5556,1022.7,203808
id_112,北七家,116.43236850000001,40.12406087,商业街区,205381.8327,307.65,215973
id_113,天通苑,116.44360900000001,40.07484713,商业街区,141412.3516,627.9,200269
id_114,东关,116.26401709999999,40.22739803,商业街区,87308.02614,126.0,248760
id_115,沙河,116.2812106,40.12433672,商业街区,158834.583,303.45,215921
id_116,阳坊,116.15135159999998,40.1455669,商业街区,23477.06928,120.75,222303
id_117,南口,116.1365475,40.24229702,商业街区,70333.74641,165.9,253000
id_118,小汤山,116.39333899999998,40.18177379,商业街区,199158.6876,131.25,233810
id_119,南邵,116.29537690000001,40.21859065,社区,21489.01569,181.65,245914
id_120,兴寿,116.42140020000001,40.22430629,社区,18597.40261,81.9,247385
id_121,霍营,116.38285390000001,40.08902562,社区,12187.09673,92.4,204532
id_122,北大桥,116.2743835,40.13704529,商业街区,10301.46667,131.25,220203
id_123,大兴西红门,116.344604,39.78813925,商业街区,307051.2719,420.0,109557
id_124,大兴黄村,116.34383059999999,39.73770588,商业街区,722243.434,525.0,93135
id_125,大兴庞各庄,116.33138999999998,39.62777365,社区,141750.8667,210.0,58859
id_126,大兴天堂河,116.3261169,39.67211436,社区,49916.28105,63.0,72423
id_127,大兴瀛海,116.46270430000001,39.77205859,社区,103336.034,63.0,104599
id_128,大兴榆垡,116.33225230000001,39.52448115,社区,97701.35294,262.5,26015
id_129,大兴青云店,116.5148419,39.68493552,商业街区,155167.8627,262.5,76771
id_130,大兴采育,116.6396615,39.66306104,商业街区,92867.42614,262.5,69674
id_131,大兴狼垡,116.29685009999999,39.78899169,社区,78239.98039,87.15,109541
id_132,大兴龙湖商街,116.32707679999999,39.69048672,商业街区,91593.91634,276.15,78135
id_133,大兴马赛,116.32076299999999,39.75133531,社区,25376.887580000002,99.75,97411
id_134,大兴孙村,116.4089676,39.71206239,社区,43932.99739,84.0,85303
id_135,大兴团河,116.3614473,39.74261148,社区,39013.967319999996,183.75,95283
id_136,房山行宫,116.148459,39.75467059,商业街区,330557.1542,579.6,98780
id_137,房山良乡,116.1540645,39.74066962,社区,415518.2131,186.9,94498
id_138,房山长沟,115.9066098,39.58509888,社区,73136.57908,99.75,45147
id_139,房山窦店,116.075317,39.65364419,社区,169585.1542,89.25,66625
id_140,房山城关,115.99631299999999,39.70252168,社区,265092.1882,141.75,82306
id_141,房山时代广场,116.178973,39.73045618,社区,49284.33595,84.0,90936
id_142,怀柔青春路,116.63737979999999,40.32405862,商业街区,396256.8601,420.0,279589
id_143,怀柔汤河口,116.6512676,40.74283652,社区,34411.67712,157.5,411684
id_144,怀柔雁栖工业开发区,116.69033490000001,40.36240761,产业园区,25770.33203,157.5,291745
id_145,怀柔凤祥东大街,116.6919788,40.30349689,社区,17723.13203,84.0,272468
id_146,怀柔桥梓镇,116.5792055,40.29623344,社区,35496.64314,44.1,270287
id_147,怀柔北房镇,116.70866029999999,40.33143593,社区,24606.839219999998,87.15,281755
id_148,怀柔北大街,116.642581,40.34144521,社区,48424.16863,161.7,284589
id_149,门头沟河滩,116.10650700000001,39.94904815,商业街区,267697.0314,367.5,160170
id_150,门头沟双峪路,116.116933,39.94131115,商业街区,108974.2863,144.9,158031
id_151,门头沟石龙,116.1175933,39.91327227,社区,157256.6641,283.5,148750
id_152,门头沟军庄,116.1112243,40.00986559,社区,17359.82876,157.5,179449
id_153,门头沟王平,115.995923,39.97554014,社区,31020.87843,31.5,168700
id_154,门头沟斋堂,115.7037057,39.9789514,社区,17045.53595,63.0,169314
id_155,密云鼓楼,116.853548,40.38222315,商业街区,273920.7686,577.5,297513
id_156,密云水库,116.84446609999999,40.48150032,社区,30818.56993,57.75,328926
id_157,密云太师屯,117.13183899999999,40.54392303,商业街区,46137.479739999995,106.05,349016
id_158,密云果园,116.8306412,40.3736009,商业街区,79061.11634,136.5,295363
id_159,密云巨各庄,117.002757,40.36727507,社区,23981.0719,73.5,293280
id_160,密云东门,116.86510919999999,40.38176278,社区,32902.19346,107.1,297517
id_161,密云南门,116.8531887,40.37485822,社区,40024.78431,84.0,295371
id_162,密云百合园,116.8652978,40.3932894,社区,34263.48497,78.75,301087
id_163,密云云光,116.8402531,40.38361075,社区,30813.56732,71.4,298222
id_164,平谷文化街,117.1176588,40.14877257,商业街区,355557.33200000005,525.0,224061
id_165,平谷官庄,117.0294722,40.1441605,社区,16957.53987,100.8,222603
