id,province_name,city_name,area_name,address,shop_name,site_type,site_type_code,lng_wgs84,lat_wgs84,fnid
0,北京市,北京市,东城区,东直门南大街1-1,来福士,购物服务;商场;购物中心,60101,116.42623770000002,39.93880759,157423
1,北京市,北京市,东城区,崇文门外大街5号,新世界百货(崇文店),购物服务;商场;购物中心,60101,116.4114112,39.89611851,143852
2,北京市,北京市,东城区,南竹杆胡同2号,银河SOHO商场,购物服务;商场;购物中心,60101,116.4264376,39.91895466,150997
3,北京市,北京市,东城区,地安门外大街136号,大华商场(地安门外大街),购物服务;商场;普通商场,60102,116.3901332,39.93429465,155983
4,北京市,北京市,东城区,香河园街1号院,万国城MOMA商业中心,购物服务;商场;购物中心,60101,116.43272920000001,39.94631879,159567
5,北京市,北京市,东城区,永定门外大街128号,北京万朋文化办公用品商城,购物服务;商场;商场,60100,116.3947746,39.86362109,133136
6,北京市,北京市,东城区,崇文门外大街18号,国瑞购物中心,购物服务;商场;购物中心,60101,116.41361129999999,39.89686007,143853
7,北京市,北京市,东城区,王府井大街138号,北京apm,购物服务;商场;普通商场,60102,116.4056601,39.91349507,148848
8,北京市,北京市,东城区,东直门外大街48号东方银座,银座百货,购物服务;商场;购物中心,60101,116.4294002,39.93879831,157424
9,北京市,北京市,东城区,王府井大街255号,北京市百货大楼,购物服务;商场;购物中心,60101,116.4037246,39.91246694,148847
10,北京市,北京市,东城区,珠市口东大街16-8号,前门亿兆商场(名线店),购物服务;商场;普通商场,60102,116.39625829999999,39.8904527,141705
11,北京市,北京市,东城区,王府井大街301号,新燕莎金街购物广场,购物服务;商场;购物中心,60101,116.4044044,39.90855734,147419
12,北京市,北京市,东城区,永定门外大街101号,百荣世贸商城,购物服务;商场;普通商场,60102,116.3921814,39.85952864,131707
13,北京市,北京市,东城区,永定门外大街101-1号百荣世贸商城,百荣世贸商城1期C座,购物服务;综合市场;小商品市场|购物服务;商场;普通商场,060701|060102,116.39246010000001,39.86086752,132421
14,北京市,北京市,东城区,[],王府井百货,购物服务;商场;购物中心,60101,116.40365159999999,39.91249091,148847
15,北京市,北京市,东城区,柏树胡同与王府井大街交叉口西100米海港大厦,王府井海港城(建设中),购物服务;商场;购物中心,60101,116.40382720000001,39.91631781,150275
16,北京市,北京市,东城区,天坛路9号,红桥市场,购物服务;商场;普通商场,60102,116.4143226,39.88482919,140283
17,北京市,北京市,东城区,崇文门外大街40号,搜秀城,购物服务;商场;普通商场,60102,116.413178,39.89523981,143138
18,北京市,北京市,东城区,王府井大街200号工美大厦5层,上品折扣(王府井店),购物服务;商场;普通商场,60102,116.40563300000001,39.90946577,148134
19,北京市,北京市,东城区,建国门内大街18号恒基中心1-2层(近北京站),恒基商城(建国门内大街店)(装修中),购物服务;商场;普通商场,60102,116.422055,39.90563279,146711
20,北京市,北京市,东城区,王府井大街138号,东安市场,购物服务;商场;购物中心,60101,116.40570559999999,39.91298965,148848
21,北京市,北京市,东城区,东长安街1号,东方新天地,购物服务;商场;购物中心,60101,116.40835109999999,39.90802013,147421
22,北京市,北京市,东城区,王府井大街201号,北京利生体育商厦,购物服务;商场;普通商场,60102,116.4043436,39.91523803,149561
23,北京市,北京市,东城区,王府井大街200号,工美大厦(东单三条),购物服务;商场;购物中心,60101,116.40563300000001,39.90946577,148134
24,北京市,北京市,东城区,王府井乐天银泰百货对面,淘汇新天,购物服务;商场;购物中心,60101,116.4041976,39.91447001,149561
25,北京市,北京市,东城区,东4头条7-3号,东四头条休闲购物小广场,购物服务;商场;普通商场,60102,116.41204429999999,39.92365376,152420
26,北京市,北京市,东城区,东四南大街17号,三友商场,购物服务;商场;普通商场,60102,116.41084440000002,39.92153304,151706
27,北京市,北京市,东城区,前门大街甲2号楼,前门华联商场,购物服务;商场;普通商场|购物服务;超级市场;超市,060102|060400,116.3938243,39.89818848,144560
28,北京市,北京市,东城区,广渠门内大街35-7号,富贵园购物中心,购物服务;商场;购物中心,60101,116.4262115,39.8928375,142429
29,北京市,北京市,东城区,王府井大街88号,北京王府井银泰in88,购物服务;商场;购物中心,60101,116.4055763,39.91477052,149562
30,北京市,北京市,东城区,王府井大街269号,王府中环,购物服务;商场;购物中心,60101,116.4030494,39.91118778,148133
31,北京市,北京市,东城区,王府井东街8号,澳门中心,购物服务;商场;购物中心,60101,116.4071015,39.91343326,148848
32,北京市,北京市,东城区,建国门南大街乙1号兰迪商厦,北京市吉盛商贸中心,购物服务;商场;购物中心,60101,116.4288768,39.90470865,146000
33,北京市,北京市,东城区,金宝街88号,金宝汇,购物服务;商场;购物中心,60101,116.41530700000001,39.9138037,149565
34,北京市,北京市,东城区,东四南大街48号,红都一商华表商场,购物服务;商场;普通商场,60102,116.41160009999999,39.92143254,151706
35,北京市,北京市,东城区,和平里西街51号,雍和宫壹中心,购物服务;商场;普通商场,60102,116.4134111,39.95153265,160989
36,北京市,北京市,东城区,王府井大街301号,王府商厦,购物服务;商场;购物中心,60101,116.40480659999999,39.90890247,147420
37,北京市,北京市,东城区,王府井大街277号好友写字楼2号楼1-3层,好友世界商场,购物服务;商场;普通商场|购物服务;专卖店;专营店,060102|061200,116.4045273,39.91016031,148133
38,北京市,北京市,东城区,东直门北大街2号楼3段,奥士凯公司东直门商场,购物服务;商场;商场,60100,116.42882730000001,39.94726783,159566
39,北京市,北京市,东城区,东交民巷39号,天安凯富莱商场,购物服务;商场;商场,60100,116.3940769,39.90091833,145274
40,北京市,北京市,东城区,东打磨厂街7号宝鼎中心A座,新活馆,购物服务;商场;商场,60100,116.4070203,39.89840488,144564
