conn_ID,AREA_NAME,lng_wgs84,lat_wgs84,AREA_TYPE_NAME,出账收入,门店面积(㎡)
id_93,成寿寺,116.4541704,39.84450249,社区,51093.81176,210
id_94,南磨房路,116.48183,39.88974016,社区,42715,141.75
id_95,五棵松,116.2913435,39.9142064,商业街区,392165.0418,790.65
id_96,车公庄,116.3618515,39.94028773,社区,102595.2183,315
id_97,鲁谷,116.2328818,39.90983405,商业街区,327867.1673,525
id_98,远大路,116.2954398,39.96490767,核心商圈,388429.1987,363.3
id_99,杨庄,116.2041719,39.92919513,商业街区,242914.1359,745.5
id_100,青塔,116.2706735,39.89627317,社区,213227.3373,137.55
id_101,田村,116.2707543,39.93373197,社区,149462.9686,788.55
id_102,展览路,116.3501915,39.93470016,社区,251417.7542,210
id_103,紫竹院,116.3174393,39.9454738,社区,327676.9516,154.35
id_104,茂林居,116.3364744,39.91447596,社区,145717.7948,132.3
id_105,石景山,116.1921975,39.91442061,商业街区,351711.1438,313.95
id_106,四季青,116.2855584,39.96521873,社区,215517.3294,210
id_107,公主坟,116.318104,39.91516772,商业街区,38935.22092,105
id_108,四通桥,116.3281461,39.97097981,商业街区,46720.6,241.5
id_109,北展,116.3528056,39.94353772,商业街区,30604.41307,168
id_110,政府街,116.2437782,40.22602777,商业街区,527197.1647,577.5
id_111,回龙观,116.3520779,40.08648642,商业街区,448454.5556,1022.7
id_112,北七家,116.4323685,40.12406087,商业街区,205381.8327,307.65
id_113,天通苑,116.443609,40.07484713,商业街区,141412.3516,627.9
id_114,东关,116.2640171,40.22739803,商业街区,87308.02614,126
id_115,沙河,116.2812106,40.12433672,商业街区,158834.583,303.45
id_116,阳坊,116.1513516,40.1455669,商业街区,23477.06928,120.75
id_117,南口,116.1365475,40.24229702,商业街区,70333.74641,165.9
id_118,小汤山,116.393339,40.18177379,商业街区,199158.6876,131.25
id_119,南邵,116.2953769,40.21859065,社区,21489.01569,181.65
id_120,兴寿,116.4214002,40.22430629,社区,18597.40261,81.9
id_121,霍营,116.3828539,40.08902562,社区,12187.09673,92.4
id_122,北大桥,116.2743835,40.13704529,商业街区,10301.46667,131.25
id_123,大兴西红门,116.344604,39.78813925,商业街区,307051.2719,420
id_124,大兴黄村,116.3438306,39.73770588,商业街区,722243.434,525
id_125,大兴庞各庄,116.33139,39.62777365,社区,141750.8667,210
id_126,大兴天堂河,116.3261169,39.67211436,社区,49916.28105,63
id_127,大兴瀛海,116.4627043,39.77205859,社区,103336.034,63
id_128,大兴榆垡,116.3322523,39.52448115,社区,97701.35294,262.5
id_129,大兴青云店,116.5148419,39.68493552,商业街区,155167.8627,262.5
id_130,大兴采育,116.6396615,39.66306104,商业街区,92867.42614,262.5
id_131,大兴狼垡,116.2968501,39.78899169,社区,78239.98039,87.15
id_132,大兴龙湖商街,116.3270768,39.69048672,商业街区,91593.91634,276.15
id_133,大兴马赛,116.320763,39.75133531,社区,25376.88758,99.75
id_134,大兴孙村,116.4089676,39.71206239,社区,43932.99739,84
id_135,大兴团河,116.3614473,39.74261148,社区,39013.96732,183.75
id_136,房山行宫,116.148459,39.75467059,商业街区,330557.1542,579.6
id_137,房山良乡,116.1540645,39.74066962,社区,415518.2131,186.9
id_138,房山长沟,115.9066098,39.58509888,社区,73136.57908,99.75
id_139,房山窦店,116.075317,39.65364419,社区,169585.1542,89.25
id_140,房山城关,115.996313,39.70252168,社区,265092.1882,141.75
id_141,房山时代广场,116.178973,39.73045618,社区,49284.33595,84
id_142,怀柔青春路,116.6373798,40.32405862,商业街区,396256.8601,420
id_143,怀柔汤河口,116.6512676,40.74283652,社区,34411.67712,157.5
id_144,怀柔雁栖工业开发区,116.6903349,40.36240761,产业园区,25770.33203,157.5
id_145,怀柔凤祥东大街,116.6919788,40.30349689,社区,17723.13203,84
id_146,怀柔桥梓镇,116.5792055,40.29623344,社区,35496.64314,44.1
id_147,怀柔北房镇,116.7086603,40.33143593,社区,24606.83922,87.15
id_148,怀柔北大街,116.642581,40.34144521,社区,48424.16863,161.7
id_149,门头沟河滩,116.106507,39.94904815,商业街区,267697.0314,367.5
id_150,门头沟双峪路,116.116933,39.94131115,商业街区,108974.2863,144.9
id_151,门头沟石龙,116.1175933,39.91327227,社区,157256.6641,283.5
id_152,门头沟军庄,116.1112243,40.00986559,社区,17359.82876,157.5
id_153,门头沟王平,115.995923,39.97554014,社区,31020.87843,31.5
id_154,门头沟斋堂,115.7037057,39.9789514,社区,17045.53595,63
id_155,密云鼓楼,116.853548,40.38222315,商业街区,273920.7686,577.5
id_156,密云水库,116.8444661,40.48150032,社区,30818.56993,57.75
id_157,密云太师屯,117.131839,40.54392303,商业街区,46137.47974,106.05
id_158,密云果园,116.8306412,40.3736009,商业街区,79061.11634,136.5
id_159,密云巨各庄,117.002757,40.36727507,社区,23981.0719,73.5
id_160,密云东门,116.8651092,40.38176278,社区,32902.19346,107.1
id_161,密云南门,116.8531887,40.37485822,社区,40024.78431,84
id_162,密云百合园,116.8652978,40.3932894,社区,34263.48497,78.75
id_163,密云云光,116.8402531,40.38361075,社区,30813.56732,71.4
id_164,平谷文化街,117.1176588,40.14877257,商业街区,355557.332,525
id_165,平谷官庄,117.0294722,40.1441605,社区,16957.53987,100.8
id_166,平谷峪口,117.0219893,40.19302964,社区,22014.57124,109.2
id_167,平谷金海,117.3039674,40.19507571,社区,16005.23529,42
id_168,平谷马坊,117.0161862,40.07804706,社区,46517.58301,110.25
id_169,平谷夏各庄,117.1853282,40.13043272,社区,5774.571242,132.3
id_170,平谷迎宾路,117.1011839,40.15192983,商业街区,34938.82092,312.9
id_171,顺义林河,116.6750906,40.11418469,社区,440053.2745,292.95
id_172,顺义杨镇,116.8391392,40.15578314,产业园区,88003.86405,126
id_173,顺义牛栏山,116.6618945,40.21319823,社区,242472.2588,126
id_174,顺义新顺,116.657539,40.13407112,商业街区,475862.081,357
id_175,顺义木林,116.7855642,40.25214066,商业街区,118096.2078,126
id_176,顺义空港,116.5631528,40.10705252,社区,384252.4497,105
id_177,顺义义宾,116.65751,40.13845211,商业街区,59952.08758,105
id_178,顺义新国展,116.5483487,40.08241524,产业园区,49779.18562,89.25
id_179,通州通镇,116.6646164,39.91385336,商业街区,572019.668,210
id_180,通州梨园,116.6736713,39.886426,商业街区,740286.0131,420
id_181,通州疃里,116.6996773,39.95515341,商业街区,274378.4876,126
id_182,通州次渠,116.586258,39.80879217,商业街区,301982.7033,115.5
id_183,通州张家湾,116.7275337,39.86509365,商业街区,321069.2719,136.5
id_184,通州漷县,116.7989939,39.78242828,商业街区,313825.8771,94.5
id_185,通州马驹桥,116.5514339,39.76171363,商业街区,189536.4706,105
id_186,通州九棵树,116.6628467,39.89419729,商业街区,199727.8601,115.5
id_187,通州运河明珠,116.696213,39.90776816,商业街区,63676.85359,89.25
id_188,通州物资学院,116.645895,39.93152215,社区,98965.81046,84
id_189,通州四季悦城,116.588771,39.76715818,社区,67134.67582,126
id_190,通州土桥,116.693991,39.878287,商业街区,27387.0366,126
id_191,通州乔庄北街,116.6874423,39.90145568,社区,16252.04314,94.5
id_192,通州焦王庄,116.6798067,39.93510818,商业街区,33031.40654,105
id_193,延庆城关,115.9934923,40.47212946,社区,274933.9229,420
id_194,延庆康庄,115.9159147,40.37847891,社区,46131.08497,119.7
id_195,延庆南菜园,115.988772,40.45575105,社区,26069.46013,151.2
id_196,延庆东外大街,115.9848596,40.4662154,商业街区,26987.90458,294
id_197,延庆永宁商业街,116.1709146,40.53554684,社区,11208.51765,73.5
